YEAR,Make,Model,Size,(kW)
2012,MITSUBISHI,i-MiEV,SUBCOMPACT,49
2012,NISSAN,LEAF,MID-SIZE,80
2013,FORD,FOCUS ELECTRIC,COMPACT,107
2013,MITSUBISHI,i-MiEV,SUBCOMPACT,49
2013,NISSAN,LEAF,MID-SIZE,80
2013,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35
2013,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35
2013,TESLA,MODEL S (40 kWh battery),FULL-SIZE,270
2013,TESLA,MODEL S (60 kWh battery),FULL-SIZE,270
2013,TESLA,MODEL S (85 kWh battery),FULL-SIZE,270
2013,TESLA,MODEL S PERFORMANCE,FULL-SIZE,310
2014,CHEVROLET,SPARK EV,SUBCOMPACT,104
2014,FORD,FOCUS ELECTRIC,COMPACT,107
2014,MITSUBISHI,i-MiEV,SUBCOMPACT,49
2014,NISSAN,LEAF,MID-SIZE,80
2014,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35
2014,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35
2014,TESLA,MODEL S (60 kWh battery),FULL-SIZE,225
2014,TESLA,MODEL S (85 kWh battery),FULL-SIZE,270
2014,TESLA,MODEL S PERFORMANCE,FULL-SIZE,310
2015,BMW,i3,SUBCOMPACT,125
2015,CHEVROLET,SPARK EV,SUBCOMPACT,104
2015,FORD,FOCUS ELECTRIC,COMPACT,107
2015,KIA,SOUL EV,STATION WAGON - SMALL,81
2015,MITSUBISHI,i-MiEV,SUBCOMPACT,49
2015,NISSAN,LEAF,MID-SIZE,80
2015,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35
2015,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35
2015,TESLA,MODEL S (60 kWh battery),FULL-SIZE,283
2015,TESLA,MODEL S (70 kWh battery),FULL-SIZE,283
2015,TESLA,MODEL S (85/90 kWh battery),FULL-SIZE,283
2015,TESLA,MODEL S 70D,FULL-SIZE,280
2015,TESLA,MODEL S 85D/90D,FULL-SIZE,280
2015,TESLA,MODEL S P85D/P90D,FULL-SIZE,515
2016,BMW,i3,SUBCOMPACT,125
2016,CHEVROLET,SPARK EV,SUBCOMPACT,104
2016,FORD,FOCUS ELECTRIC,COMPACT,107
2016,KIA,SOUL EV,STATION WAGON - SMALL,81
2016,MITSUBISHI,i-MiEV,SUBCOMPACT,49
2016,NISSAN,LEAF (24 kWh battery),MID-SIZE,80
2016,NISSAN,LEAF (30 kWh battery),MID-SIZE,80
2016,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35
2016,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35
2016,TESLA,MODEL S (60 kWh battery),FULL-SIZE,283
2016,TESLA,MODEL S (70 kWh battery),FULL-SIZE,283
2016,TESLA,MODEL S (85/90 kWh battery),FULL-SIZE,283
2016,TESLA,MODEL S 70D,FULL-SIZE,386
2016,TESLA,MODEL S 85D/90D,FULL-SIZE,386
2016,TESLA,MODEL S 90D (Refresh),FULL-SIZE,386
2016,TESLA,MODEL S P85D/P90D,FULL-SIZE,568
2016,TESLA,MODEL S P90D (Refresh),FULL-SIZE,568
2016,TESLA,MODEL X 90D,SUV - STANDARD,386
2016,TESLA,MODEL X P90D,SUV - STANDARD,568
